-40	-70	1.5	-5.95502	-5.95502	-98.8364	0	
-40	-67.6	1.5	-8.13796	-8.13796	-96.7248	0	
-40	-65.2	1.5	-19.3604	-19.3604	-95.7258	0	
-40	-62.8	1.5	3.40459	3.40459	-101.744	0	
-40	-60.4	1.5	-16.3165	-16.3165	-111.734	0	
-40	-58	1.5	1.34293	1.34293	-98.2545	0	
-40	-55.6	1.5	-17.3607	-17.3607	-111.884	0	
-40	-53.2	1.5	-13.2861	-13.2861	-113.499	0	
-40	-50.8	1.5	-15.7924	-15.7924	-105.493	0	
-40	-48.4	1.5	1.64218	1.64218	-102.105	0	
-40	-46	1.5	-8.25956	-8.25956	-90.0145	0	
-40	-43.6	1.5	4.57121	4.57121	-110.557	0	
-40	-41.2	1.5	4.14631	4.14631	-94.1308	0	
-40	-38.8	1.5	-11.1997	-11.1997	-110.098	0	
-40	-36.4	1.5	-1.53738	-1.53738	-109.229	0	
-40	-34	1.5	-1.36388	-1.36388	-95.1438	0	
-40	-31.6	1.5	13.6329	13.6329	-94.1535	0	
-40	-29.2	1.5	2.15078	2.15078	-96.941	0	
-40	-26.8	1.5	10.6404	10.6404	-93.3231	0	
-40	-24.4	1.5	8.06245	8.06245	-106.621	0	
-40	-22	1.5	11.3699	11.3699	-90.7044	0	
-40	-19.6	1.5	4.08877	4.08877	-105.178	0	
-40	-17.2	1.5	-7.9548	-7.9548	-87.1509	0	
-40	-14.8	1.5	5.07391	5.07391	-105.793	0	
-40	-12.4	1.5	4.49732	4.49732	-86.6542	0	
-40	-10	1.5	-2.09976	-2.09976	-92.2616	0	
-40	-7.6	1.5	-0.36403	-0.36403	-88.0019	0	
-40	-5.2	1.5	-3.397	-3.397	-82.121	0	
-40	-2.8	1.5	6.7126	6.7126	-98.0244	0	
-40	-0.4	1.5	-7.74747	-7.74747	-93.2671	0	
-40	2	1.5	5.25057	5.25057	-103.014	0	
-40	4.4	1.5	5.19986	5.19986	-103.746	0	
-40	6.8	1.5	7.03093	7.03093	-101.559	0	
-40	9.2	1.5	9.93765	9.93765	-94.7551	0	
-40	11.6	1.5	14.0335	14.0335	-84.5908	0	
-40	14	1.5	7.68688	7.68688	-95.1317	0	
-40	16.4	1.5	1.58587	1.58587	-102.247	0	
-40	18.8	1.5	10.2932	10.2932	-96.2666	0	
-40	21.2	1.5	6.99304	6.99304	-84.4098	0	
-40	23.6	1.5	7.68694	7.68694	-98.3479	0	
-40	26	1.5	0.363979	0.363979	-91.498	0	
-40	28.4	1.5	2.36876	2.36876	-85.964	0	
-40	30.8	1.5	-0.545391	-0.545391	-97.0795	0	
-40	33.2	1.5	4.73847	4.73847	-93.6109	0	
-40	35.6	1.5	-10.8647	-10.8647	-98.7106	0	
-40	38	1.5	-1.65564	-1.65564	-86.9335	0	
-40	40.4	1.5	-0.22321	-0.22321	-103.387	0	
-40	42.8	1.5	-1.77312	-1.77312	-94.8866	0	
-40	45.2	1.5	-2.00033	-2.00033	-97.702	0	
-40	47.6	1.5	-9.83002	-9.83002	-95.5838	0	
-40	50	1.5	2.3537	2.3537	-92.2972	0	
-37.6	-70	1.5	-1.96167	-1.96167	-97.1773	0	
-37.6	-67.6	1.5	-14.1906	-14.1906	-93.65	0	
-37.6	-65.2	1.5	-5.17169	-5.17169	-103.73	0	
-37.6	-62.8	1.5	-15.6182	-15.6182	-107.418	0	
-37.6	-60.4	1.5	0.132054	0.132054	-93.9622	0	
-37.6	-58	1.5	-0.397968	-0.397968	-92.1899	0	
-37.6	-55.6	1.5	-2.13359	-2.13359	-97.3593	0	
-37.6	-53.2	1.5	0.859083	0.859083	-105.461	0	
-37.6	-50.8	1.5	-14.4723	-14.4723	-106.557	0	
-37.6	-48.4	1.5	4.1879	4.1879	-103.491	0	
-37.6	-46	1.5	0.424925	0.424925	-95.6632	0	
-37.6	-43.6	1.5	-2.2905	-2.2905	-103.375	0	
-37.6	-41.2	1.5	8.48514	8.48514	-86.92	0	
-37.6	-38.8	1.5	4.4481	4.4481	-94.5576	0	
-37.6	-36.4	1.5	-5.73742	-5.73742	-95.6102	0	
-37.6	-34	1.5	-4.2153	-4.2153	-90.8657	0	
-37.6	-31.6	1.5	-11.4013	-11.4013	-88.0774	0	
-37.6	-29.2	1.5	-0.450107	-0.450107	-95.1178	0	
-37.6	-26.8	1.5	12.7049	12.7049	-103.263	0	
-37.6	-24.4	1.5	2.31283	2.31283	-96.5753	0	
-37.6	-22	1.5	1.58927	1.58927	-94.3387	0	
-37.6	-19.6	1.5	-9.75758	-9.75758	-92.5222	0	
-37.6	-17.2	1.5	-8.50932	-8.50932	-88.9567	0	
-37.6	-14.8	1.5	1.4521	1.4521	-92.4966	0	
-37.6	-12.4	1.5	0.158613	0.158613	-100.446	0	
-37.6	-10	1.5	15.2353	15.2353	-88.3902	0	
-37.6	-7.6	1.5	-7.02238	-7.02238	-98.483	0	
-37.6	-5.2	1.5	-6.6472	-6.6472	-101.048	0	
-37.6	-2.8	1.5	-7.30447	-7.30447	-103.498	0	
-37.6	-0.4	1.5	13.5437	13.5437	-98.7857	0	
-37.6	2	1.5	8.29763	8.29763	-90.7731	0	
-37.6	4.4	1.5	4.58856	4.58856	-93.1879	0	
-37.6	6.8	1.5	11.948	11.948	-93.7435	0	
-37.6	9.2	1.5	3.62527	3.62527	-88.422	0	
-37.6	11.6	1.5	5.17709	5.17709	-104.278	0	
-37.6	14	1.5	7.89774	7.89774	-100.523	0	
-37.6	16.4	1.5	9.09442	9.09442	-94.0266	0	
-37.6	18.8	1.5	9.04978	9.04978	-99.3195	0	
-37.6	21.2	1.5	9.92661	9.92661	-96.0065	0	
-37.6	23.6	1.5	-9.10332	-9.10332	-101.155	0	
-37.6	26	1.5	7.02687	7.02687	-98.0304	0	
-37.6	28.4	1.5	10.7292	10.7292	-98.8594	0	
-37.6	30.8	1.5	8.97276	8.97276	-88.7897	0	
-37.6	33.2	1.5	-4.81728	-4.81728	-97.2106	0	
-37.6	35.6	1.5	-1.33471	-1.33471	-99.7451	0	
-37.6	38	1.5	-12.4528	-12.4528	-94.0071	0	
-37.6	40.4	1.5	-2.01485	-2.01485	-95.1999	0	
-37.6	42.8	1.5	-13.7818	-13.7818	-110.872	0	
-37.6	45.2	1.5	-2.29372	-2.29372	-94.977	0	
-37.6	47.6	1.5	6.22162	6.22162	-97.2216	0	
-37.6	50	1.5	-7.11354	-7.11354	-94.9246	0	
-35.2	-70	1.5	5.22589	5.22589	-99.1888	0	
-35.2	-67.6	1.5	-21.0957	-21.0957	-96.4084	0	
-35.2	-65.2	1.5	3.68713	3.68713	-92.4743	0	
-35.2	-62.8	1.5	-6.15077	-6.15077	-92.8827	0	
-35.2	-60.4	1.5	-7.44428	-7.44428	-95.3493	0	
-35.2	-58	1.5	4.93128	4.93128	-111.78	0	
-35.2	-55.6	1.5	-3.14475	-3.14475	-104.957	0	
-35.2	-53.2	1.5	3.258	3.258	-94.8785	0	
-35.2	-50.8	1.5	-4.80833	-4.80833	-101.759	0	
-35.2	-48.4	1.5	-0.611804	-0.611804	-108.3	0	
-35.2	-46	1.5	-0.197486	-0.197486	-111.73	0	
-35.2	-43.6	1.5	-10.0642	-10.0642	-95.0612	0	
-35.2	-41.2	1.5	7.85505	7.85505	-88.6607	0	
-35.2	-38.8	1.5	4.81408	4.81408	-91.0087	0	
-35.2	-36.4	1.5	-11.6265	-11.6265	-102.224	0	
-35.2	-34	1.5	6.05253	6.05253	-97.6568	0	
-35.2	-31.6	1.5	9.55121	9.55121	-84.7253	0	
-35.2	-29.2	1.5	-10.3476	-10.3476	-103.502	0	
-35.2	-26.8	1.5	14.9092	14.9092	-97.0774	0	
-35.2	-24.4	1.5	1.02914	1.02914	-97.8467	0	
-35.2	-22	1.5	7.2955	7.2955	-92.3672	0	
-35.2	-19.6	1.5	8.81002	8.81002	-104.493	0	
-35.2	-17.2	1.5	-2.33749	-2.33749	-88.9339	0	
-35.2	-14.8	1.5	6.71659	6.71659	-97.3105	0	
-35.2	-12.4	1.5	-6.14105	-6.14105	-92.8067	0	
-35.2	-10	1.5	1.96644	1.96644	-81.2125	0	
-35.2	-7.6	1.5	0.272093	0.272093	-89.1678	0	
-35.2	-5.2	1.5	4.5334	4.5334	-93.4835	0	
-35.2	-2.8	1.5	14.8497	14.8497	-92.4564	0	
-35.2	-0.4	1.5	3.62176	3.62176	-96.6437	0	
